series_id                     	year	period	value	footnote_codes
ORUC1000002Z00001173          	2022	A01	54.5	7
ORUC1000002Z00001180          	2022	A01	9.8	
ORUC1000002Z00001181          	2022	A01	73.6	7
ORUC1000002Z00001182          	2022	A01	16.6	
ORUC1000002Z00001187          	2022	A01	100.0	7
ORUC1000002Z00001190          	2022	A01	40.9	7
ORUC1000002Z00001191          	2022	A01	21.2	
ORUC1000002Z00001192          	2022	A01	26.0	
ORUC1000002Z00001197          	2022	A01	73.6	7
ORUC1000002Z00001198          	2022	A01	26.4	
ORUC1000002Z00001202          	2022	A01	100.0	7
ORUC1000002Z00001205          	2022	A01	37.2	
ORUC1000002Z00001206          	2022	A01	62.8	7
ORUC1000003C00001149          	2022	A01	17.8	
ORUC1000003C00001150          	2022	A01	82.2	7
ORUC1000003C00001156          	2022	A01	27.3	
ORUC1000003C00001157          	2022	A01	71.0	7
ORUC1000003C00001160          	2022	A01	33.5	
ORUC1000003C00001161          	2022	A01	66.5	7
ORUC1000003C00001166          	2022	A01	22.1	
ORUC1000003C00001167          	2022	A01	77.6	7
ORUC1000003C00001171          	2022	A01	46.8	7
ORUC1000003C00001172          	2022	A01	6.9	
ORUC1000003C00001173          	2022	A01	46.3	
ORUC1000003C00001180          	2022	A01	9.2	
ORUC1000003C00001181          	2022	A01	80.3	7
ORUC1000003C00001182          	2022	A01	10.5	
ORUC1000003C00001187          	2022	A01	100.0	7
ORUC1000003C00001197          	2022	A01	83.6	7
ORUC1000003C00001198          	2022	A01	16.4	
ORUC1000003C00001202          	2022	A01	98.9	7
ORUC1000003C00001205          	2022	A01	53.6	7
ORUC1000003C00001206          	2022	A01	46.4	
ORUC1000003E00001149          	2022	A01	5.6	
ORUC1000003E00001150          	2022	A01	94.4	7
ORUC1000003E00001156          	2022	A01	18.4	
ORUC1000003E00001157          	2022	A01	78.3	7
ORUC1000003E00001160          	2022	A01	52.6	7
ORUC1000003E00001161          	2022	A01	47.4	
ORUC1000003E00001166          	2022	A01	31.5	
ORUC1000003E00001167          	2022	A01	68.5	7
